g1,g2,ccted,iteration,gted,edit_distance,gted_time,ccted_time
simulated333,simulated256,34.0,6,34.0,61,45.16358733177185,5.441076040267944
simulated333,simulated460,31.0,2,31.0,67,20.610455751419067,9.050296068191528
simulated333,simulated296,34.0,6,34.0,60,106.30924701690674,18.840530395507812
simulated333,simulated330,12.0,1,12.0,12,1.4172725677490234,1.3371460437774658
simulated333,simulated262,24.0,2,24.0,40,12.444582462310791,6.529948949813843
simulated305,simulated305,0.0,2,0.0,0,1.5129637718200684,0.9382214546203613
simulated305,simulated187,30.0,2,31.0,45,29.647595643997192,6.50786828994751
simulated305,simulated25,33.0,9,34.0,74,80.25794982910156,5.340952634811401
simulated305,simulated256,21.0,8,21.0,24,18.16588020324707,2.5836968421936035
simulated305,simulated460,30.0,3,30.0,58,21.1108341217041,6.079881429672241
simulated305,simulated296,4.0,1,4.0,4,1.1542439460754395,1.0764853954315186
simulated305,simulated330,33.0,14,33.0,58,160.78657054901123,11.223528385162354
simulated305,simulated262,31.0,3,31.0,49,35.131432056427,12.276013612747192
simulated187,simulated187,0.0,1,0.0,0,1.0278105735778809,0.945974588394165
simulated187,simulated25,37.0,413,38.0,70,4950.538460016251,5.5744898319244385
simulated187,simulated256,29.0,6,29.0,44,34.83134698867798,5.753962516784668
simulated187,simulated460,31.99999935442638,17,32.0,56,101.45255017280579,7.875567674636841
simulated187,simulated296,31.0,9,31.0,45,211.23531675338745,23.19284152984619
